stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1239d,Vuslat,,37.92745,32.5326833,,
123a,Zümrüt Cami,,37.8519917,32.448075,,
123d,Zümrüt Cami,,37.852075,32.4481083,,
1240d,10683. Sk,,37.9266333,32.5339,,
1241d,10687. Sk,,37.9275166,32.5345917,,
1242a,Kışlaönü 1,,37.868033,32.513501,,
1242d,Kışlaönü 1,,37.868086,32.513297,,
1244a,Dikilitaş,,37.95484,32.47237,,
1244d,Dikilitaş,,37.95459,32.47237,,
1245a,Baykara,,37.95285,32.4745,,
1245d,Baykara,,37.95265,32.4747167,,
1246a,Karatay Hükümet Konağı,,37.863891,32.543327,,
1246d,Karatay Hükümet Konağı,,37.863834,32.543129,,
1247a,Tatköy Baraj Ayrımı,,37.937523,32.396734,,
1247d,Tatköy Baraj Ayrımı,,37.937589,32.396755,,
1248a,Medicana Hastanesi,,37.8935083,32.49809,,
1249d,Zencirli 3,,38.00377,32.835478,,
124a,Yeşildal,,37.848214,32.446109,,
124d,Yeşildal,,37.848231,32.446021,,
1250d,Zencirli 5,,38.008335,32.834667,,
1251a,Konlas,,38.027335,32.645659,,
1251d,Konlas,,38.027375,32.645772,,
1252a,3. Sk,,37.96408,32.61929,,
1253a,Evrenköy 2,,37.96733,32.61393,,
1253d,Evrenköy 2,,37.967302,32.613812,,
1254a,Arıkan,,37.849659,32.51017,,
1254d,Arıkan,,37.849775,32.50991,,
1255a,Boztepe,,37.851625,32.51281,,
1255d,Boztepe,,37.8516084,32.51242,,
1256a,Mahiler,,37.8543583,32.51673,,
1256d,Mahiler,,37.854425,32.51638,,
1257a,Demircan,,37.8565417,32.52026,,
1257d,Demircan,,37.8566083,32.51986,,
1258a,Asmalı Konak,,37.859418,32.523774,,
1258d,Asmalı Konak,,37.859649,32.523586,,
1259a,Kurudere,,37.864555,32.524883,,
1259d,Kurudere,,37.864602,32.525195,,
125a,Gürnihal,,37.8456917,32.4443917,,
1261a,Astar,,37.86861,32.525024,,
1261d,Astar,,37.868531,32.525292,,
1262a,Azimet,,37.87175,32.52741,,
1262d,Azimet,,37.871925,32.52716,,
1263a,Karfet Fetih Cami,,37.8764,32.5277,,
1263d,Karfet Fetih Cami,,37.8763,32.5274,,
1264a,Karatay Kent,,37.881468,32.527121,,
1264d,Karatay Kent,,37.881609,32.527427,,
1265a,Fındık,,37.8839833,32.5273,,
1265d,Fındık,,37.8838917,32.52694,,
1266a,Şalvarcı,,37.8877583,32.52397,,
1266d,Şalvarcı,,37.887525,32.52381,,
1267a,Oğuzhan,,37.8900083,32.52059,,
1267d,Oğuzhan,,37.889875,32.52032,,
1268a,Bayatlı,,37.8920584,32.51753,,
1268d,Bayatlı,,37.8919917,32.51714,,
1269a,Mercidabık,,37.893625,32.51515,,
1269d,Mercidabık,,37.8933917,32.51504,,
126a,Cemal Bardakçı İlkokulu,,37.847205,32.442719,,
126d,Cemal Bardakçı İlkokulu,,37.847381,32.442692,,
1270a,Ala,,37.8944833,32.51205,,
1270d,Ala,,37.89425,32.51215,,
1271a,Canöz,,37.89485,32.50805,,
1271d,Canöz,,37.8946667,32.50815,,
1272a,İsmet Paşa İlkokulu,,37.8761584,32.5001584,,
1273a,Nesrin Ayşegül İlkokulu,,37.881675,32.4956917,,
1273d,Nesrin Ayşegül İlkokulu,,37.8812166,32.4957334,,
1274a,Musalla Şehitlik,,37.8842883,32.4973017,,
1274d,Musalla Şehitlik,,37.8843083,32.49713,,
1275a,Emniyet Müdürlüğü,,37.88712,32.499468,,
1275d,Emniyet Müdürlüğü,,37.887109,32.499114,,
1276a,Toklu,,37.889375,32.501125,,
1276d,Toklu,,37.8895167,32.5009083,,
1277a,Kocaense,,37.8918833,32.502925,,
1277d,Kocaense,,37.8918417,32.502625,,
1278a,Hava Lojmanları,,37.8932583,32.5040083,,
1278d,Hava Lojmanları,,37.893225,32.5036584,,
1279a,Gündüz,,37.8977834,32.5073083,,
1279d,Gündüz,,37.897725,32.5069083,,
127a,Saka Cami,,37.8466917,32.439575,,
127d,Saka Cami,,37.846775,32.439525,,
1280a,Abdülbasri,,37.9008083,32.509525,,
1280d,Abdülbasri,,37.9010417,32.509325,,
1281a,Hekim Gaznevi,,37.9031583,32.511225,,
1281d,Hekim Gaznevi,,37.903275,32.510975,,
1282a,Karayolları Cami,,37.9066666,32.513825,,
1282d,Karayolları Cami,,37.9067917,32.5135583,,
1283a,Karayolları Lojmanları,,37.9099,32.5157166,,
1283d,Karayolları Lojmanları,,37.9098333,32.5153667,,
1284a,Laleciler,,37.916614,32.519809,,
1284d,Laleciler,,37.916694,32.519444,,
1285a,Altınkaya,,37.8832417,32.5372833,,
1285d,Altınkaya,,37.8833667,32.5371,,
1286a,Çevreli,,37.919502,32.522116,,
1286d,Çevreli,,37.919802,32.521848,,
1287a,Büsan,,37.923309,32.525978,,
1287d,Büsan,,37.923381,32.525431,,
1288a,Aykent,,37.929474,32.532019,,
1288d,Aykent,,37.928562,32.530468,,
1289a,Toprak Mahsulleri Ofisi,,37.931659,32.534154,,
1289d,Toprak Mahsulleri Ofisi,,37.931919,32.533816,,
128a,Tahir Büyükkörükcü İhl,,37.8446667,32.437275,,
128d,Tahir Büyükkörükcü İhl,,37.844725,32.4372083,,
1290a,Modesa,,37.9347916,32.5370583,,
1290d,Modesa,,37.9354917,32.5373083,,
1291a,Türk Yıldızları Parkı 1,,37.9521583,32.555425,,
1291d,Türk Yıldızları Parkı 1,,37.952575,32.5552916,,
1292a,Konsan,,37.943625,32.5462167,,
1292d,Konsan,,37.9438083,32.5459167,,
1293a,Türk Yıldızları Parkı 2,,37.9550417,32.558575,,
1293d,Türk Yıldızları Parkı 2,,37.9554417,32.5584917,,
1294a,Aksaray Yolu Köprüsü,,37.946825,32.5497417,,
1294d,Aksaray Yolu Köprüsü,,37.9466917,32.5489917,,
1295a,Aksaray Kavşağı,,37.94995,32.5567833,,
1295d,Aksaray Kavşağı,,37.950175,32.5567,,
1296a,Türk Yıldızları Parkı 3,,37.9579583,32.561725,,
1296d,Türk Yıldızları Parkı 3,,37.958325,32.5616083,,
1297a,Tüyap,,37.9505084,32.56065,,
1297d,Tüyap,,37.9507417,32.5603083,,
1298a,Aslım,,37.9528667,32.5753666,,
1298d,Aslım,,37.95325,32.5753,,
1299a,Tümosan,,37.9560833,32.5964167,,
1299d,Tümosan,,37.9564167,32.5965833,,
129a,Kazan Bendi Cami,,37.8434917,32.4348333,,
129d,Kazan Bendi Cami,,37.8435583,32.434875,,
12a,Muhacir Pazarı,,37.866475,32.4882333,,
12d,Muhacir Pazarı,,37.866575,32.4881333,,
1300a,Lila,,38.008532,32.493519,,
1300d,Lila,,38.008501,32.49361,,
1301a,421. Sk,,37.9584667,32.6119,,
1301d,421. Sk,,37.9586667,32.6117333,,
1302a,2. Organize Aksaray Girişi,,37.960771,32.617115,,
1302d,2. Organize Aksaray Girişi,,37.960752,32.617303,,
1303a,2. Organize 2,,37.968096,32.610585,,
1303d,2. Organize 2,,37.968292,32.610585,,
1304a,2. Organize 3,,37.967535,32.608357,,
1304d,2. Organize 3,,37.967435,32.608357,,
1305a,2. Organize 4,,37.9702,32.6080083,,
1305d,2. Organize 4,,37.9701667,32.6079083,,
1306a,Mft Sanayi,,37.852043,32.675657,,
1306d,Mft Sanayi,,37.852279,32.67563,,
1307a,2. Organize 6,,37.973969,32.605565,,
1307d,2. Organize 6,,37.973972,32.605651,,
1308a,2. Organize 7,,37.9782,32.6030333,,
1308d,2. Organize 7,,37.9781834,32.6029166,,
1309d,2. Organize 8,,37.980169,32.604487,,
130a,Sert,,37.843975,32.4328833,,
130d,Sert,,37.8440083,32.4328917,,
1310d,2. Organize 9,,37.981767,32.598441,,
1312a,9. Sk,,37.9895,32.6055417,,
1312d,9. Sk,,37.9893,32.6055917,,
1313a,Vali İhsan Dede,,37.9913583,32.6071916,,
1313d,Vali İhsan Dede,,37.9911083,32.6072417,,
1314a,Sanayi 13. Sk,,37.9904917,32.6098917,,
1314d,Sanayi 13. Sk,,37.990475,32.6097417,,
1315a,2. Organize Çıkışı,,37.987132,32.600405,,
1315d,2. Organize Çıkışı,,37.987276,32.600641,,
1316a,Organize 1,,37.9672833,32.6260583,,
1316d,Organize 1,,37.9672166,32.6259417,,
1317a,Sanayi 6. Sk,,37.970475,32.6244916,,
1317d,Sanayi 6. Sk,,37.9706583,32.624275,,
1318a,8. Sk,,37.9744417,32.625725,,
1318d,8. Sk,,37.97455,32.625575,,
1319a,Ziyaeddin,,37.9777583,32.6288917,,
1319d,Ziyaeddin,,37.9779583,32.6288583,,
131a,İlkokul,,37.8422083,32.430725,,
131d,İlkokul,,37.8423167,32.4306167,,
1320a,Çelimli,,37.9794417,32.6290834,,
1320d,Çelimli,,37.9795417,32.6287667,,
1321a,19. Sk,,37.981525,32.6254667,,
1321d,19. Sk,,37.9814917,32.6253417,,
1322a,13. Sk 2,,37.983525,32.6219417,,
1322d,13. Sk 2,,37.9835583,32.62175,,
1323a,13. Sk,,37.985475,32.6186,,
1323d,13. Sk,,37.9854917,32.6183917,,
1324a,3. Organize,,37.988075,32.614125,,
1324d,3. Organize,,37.988075,32.614075,,
1325a,Türk Yıldızları Parkı 4,,37.9611,32.5651,,
1325d,Türk Yıldızları Parkı 4,,37.9615417,32.565025,,
1326a,Kayacık Yağmur,,37.994997,32.5999,,
1326d,Kayacık Yağmur,,37.99513,32.5996,,
1327d,Demirel,,37.940913,32.423593,,
1328a,Türk Yıldızları Parkı 5,,37.967275,32.5716417,,
1328d,Türk Yıldızları Parkı 5,,37.9676417,32.5715834,,
1329a,Lalehan Cd,,37.96475,32.615375,,
1329d,Lalehan Cd,,37.964599,32.61549,,
132a,Durunday,,37.8401417,32.4315583,,
132d,Durunday,,37.8402167,32.4314917,,
1330a,Türk Yıldızları Parkı 6,,37.9705083,32.575125,,
1330d,Türk Yıldızları Parkı 6,,37.970875,32.5750583,,
1331a,Pınarbaşı Girişi,,38.021475,32.6278917,,
1331d,Pınarbaşı Girişi,,38.021475,32.6278667,,
1332a,16722. Sk,,38.0323583,32.6158333,,
1332d,16722. Sk,,38.0323083,32.6158166,,
1333a,Molla Gürani,,38.045725,32.603875,,
1333d,Molla Gürani,,38.0458583,32.6037417,,
1334a,16742. Sk,,38.0472917,32.6029083,,
1334d,16742. Sk,,38.0473583,32.602825,,
1335a,Hoca Nasreddin,,38.050525,32.6009583,,
1335d,Hoca Nasreddin,,38.050625,32.6008417,,
1336a,16825. Sk,,38.0540917,32.5988084,,
1336d,16825. Sk,,38.0541583,32.598675,,
1337a,16827. Sk,,38.056325,32.597425,,
1337d,16827. Sk,,38.056425,32.597325,,
1338a,16829. Sk,,38.0574583,32.5951583,,
1338d,16829. Sk,,38.0574417,32.5950667,,
1339a,Pınarbaşı Cami,,38.0592334,32.5941,,
1339d,Pınarbaşı Cami,,38.05935,32.5940166,,
133a,Balova,,37.8374,32.43145,,
133d,Balova,,37.8375333,32.4314417,,
1340a,Pınarbaşı Son,,38.0633833,32.59475,,
1340d,Pınarbaşı Son,,38.06345,32.5947167,,
1341a,Sultan Mehmet,,38.0681,32.5959833,,
1341d,Sultan Mehmet,,38.0681334,32.5959667,,
1342a,Sarıcalar Mahalle Girişi,,38.0858083,32.6082417,,
1342d,Sarıcalar Mahalle Girişi,,38.085825,32.608225,,
1343a,18351. Sk,,38.0871917,32.6102917,,
1343d,18351. Sk,,38.0872667,32.6102667,,
1344a,25756. Sk,,38.1033417,32.555375,,
1344d,25756. Sk,,38.1033083,32.5553833,,
1345a,Çaltı,,38.10275,32.5526833,,
1345d,Çaltı,,38.1026083,32.55225,,
1346a,Solak,,38.0409667,32.6055,,
1346d,Solak,,38.0409167,32.6055417,,
1347a,16706. Sk,,38.0378583,32.603625,,
1347d,16706. Sk,,38.0378417,32.6036583,,
1348a,Safa Cami,,38.036475,32.600275,,
1348d,Safa Cami,,38.036375,32.6002417,,
134a,Pir Aliler,,37.8354,32.4313333,,
134d,Pir Aliler,,37.8354333,32.4313833,,
1350a,Bilim Merkezi,,37.986875,32.5919,,
1350d,Bilim Merkezi,,37.9866083,32.5909917,,
1351a,Birlik Parkı,,37.9769917,32.5821083,,
1351d,Birlik Parkı,,37.9773583,32.5820417,,
1352a,Eski Ankara Cd,,37.9789417,32.5840667,,
1352d,Eski Ankara Cd,,37.9793083,32.584025,,
1353a,Hava Alanı,,37.9831417,32.5881583,,
1353d,Hava Alanı,,37.9833583,32.587975,,
1354a,Türk Yıldızları Parkı 7,,37.9737083,32.5786417,,
1354d,Türk Yıldızları Parkı 7,,37.973925,32.5783583,,
1356a,Çaltı Hz Osman Cami,,38.1,32.5467834,,
1356d,Çaltı Hz Osman Cami,,38.0999417,32.546825,,
